Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
East Allegheny,26,871,141.0141837,850,142.3411395,9,17.20465053,31,28.3019434,0,14.14213562,92,64.44377394,17,20.59126028,55,35.4682957,25,23.32380758,160,70.60453243,117,89.04493248,57,51.97114584,29,26.2488095,69,49.65883607,47,40.71854614,29,42.42640687,8,14.86606875,20,24.16609195,23,24.69817807,42,31.06444913,9,16.40121947,0,14.14213562,11,20.59126028,21,21.09502311
East Carnegie,27,95,36,85,33,5,7,0,10,0,10,0,10,0,10,0,10,25,34,10,11,9,9,4,7,12,18,9,10,8,12,0,10,0,10,0,10,3,5,0,10,0,10,0,10,0,10,10,16
East Hills,28,781,144.3121617,705,136.9707998,90,66.55073253,27,26.70205985,94,71.89575787,69,53.57238094,8,19.20937271,18,21.3541565,43,45.49725266,14,22.91287847,28,48.12483766,62,66.72330927,64,51.96152423,59,60.27437266,43,46.21688003,65,60.67124525,10,21.3541565,11,25.3179778,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,76,60.6052803
East Liberty,29,2479,231.2466216,2450,230.8527669,51,44.01136217,22,37.80211634,111,54.15717866,96,65.76473219,39,37.69615365,54,57.97413216,53,57.17516944,76,51.53639491,195,80.54191455,301,124.4869471,378,127.3813173,177,85.52777327,123,73.79701891,135,59.92495307,132,79.71825387,177,72.53275122,135,75.1598297,69,51.30302135,116,62.84106937,10,30.41381265,0,28.28427125,29,36.01388621
Elliott,30,389,108.853112,346,107.5964683,12,25.3179778,0,17.32050808,20,26.15339366,9,20.61552813,8,18.54723699,1,15.77973384,13,17.91647287,46,48.47679857,54,60.3158354,42,44.15880433,0,17.32050808,63,42.05948169,57,63.79655163,13,25.3179778,0,17.32050808,8,19.20937271,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,43,34.59768778
Esplen,31,34,25,34,25,0,10,0,10,0,10,0,10,0,10,6,10,0,10,0,10,0,10,9,9,12,19,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,371,68,371,68,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,13,21,33,0,10,8,13,5,7,11,16,44,38,43,43,46,32,131,68,37,45,16,19,0,10,0,10,0,10
Fineview,33,411,101.6710382,408,101.6710382,45,36.40054945,23,27.85677655,10,15.62049935,70,38.32753579,0,14.14213562,80,59.46427499,0,14.14213562,0,14.14213562,32,48.05205511,91,75.23961722,6,12.80624847,9,18.02775638,0,14.14213562,28,44.14748011,14,24.16609195,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,3,10.77032961
Friendship,34,969,124.2577965,969,124.2577965,0,14.14213562,0,14.14213562,12,22.36067978,7,15.62049935,11,19.72308292,0,14.14213562,47,62.58594091,31,29.52964612,22,23.34523506,56,40,118,66.57326791,171,75.69015788,103,63.1585307,65,41.23105626,96,69.72087205,22,26,86,73.97972695,104,58.94064811,5,14.86606875,0,14.14213562,13,21.47091055,0,14.14213562
Garfield,35,882,121.0578374,805,123.1340733,36,33.61547263,11,27.58622845,71,45.26588119,24,29.73213749,23,25.03996805,33,35.05709629,39,32.28002478,61,39.62322551,37,30.78960864,59,36.51027253,58,37.72267223,55,37.80211634,102,50.41825066,52,42.20189569,50,37.28270376,18,23.2594067,17,25.25866188,6,21.9317122,50,53.85164807,0,22.36067978,3,20.88061302,77,47.65501023
Glen Hazel,36,254,86,254,86,10,16,14,21,49,52,10,17,27,25,20,23,28,46,21,25,33,31,37,42,0,10,0,10,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,1331,224.182961,1244,218.3781125,0,30,16,39.10242959,10,33,0,30,10,32.01562119,19,35.77708764,11,33,61,48.88762625,98,89.11228871,62,50.08991915,145,108.7658034,47,50.85272854,100,85.74963557,49,47.51841748,113,81.53526844,257,121.9221063,65,59.27056605,99,61.56297589,41,46.5295605,41,44.810713,0,30,87,59.84981203
Hays,38,90,40,70,33,0,10,0,10,0,10,2,4,0,10,17,22,3,6,0,10,0,10,23,24,13,15,0,10,3,6,0,10,0,10,9,14,0,10,0,10,0,10,0,10,0,10,20,23
Hazelwood,39,833,163.1011956,798,161.7219837,31,47.22287581,46,58.56620186,0,26.45751311,51,57.62811814,50,52.65928218,36,32.09361307,86,79.49842766,149,85.49268975,89,66.91038783,42,39.11521443,32,32.48076354,52,54.97272051,69,46.67976007,7,27.73084925,0,26.45751311,50,37.78888726,5,26.0959767,0,26.45751311,3,25,0,26.45751311,0,26.45751311,35,31.71750305
Highland Park,40,1526,210.4899047,1475,207.5427667,0,28.28427125,0,28.28427125,14,33.77869151,16,35.7211422,0,28.28427125,12,31.44837039,13,33.1662479,48,50.53711507,104,65.3911309,67,63.15061362,219,121.3878083,107,67.49074011,147,82.16446921,120,80.63498,109,69.7423831,77,51.20546846,77,60.09159675,233,119.9624941,90,93.16651759,22,37.09447398,0,28.28427125,51,39.20459157
Homewood North,41,608,128.3705574,580,127.3184983,86,51.16639522,11,27.58622845,25,31.19294792,0,22.36067978,82,62.84902545,16,22.75961335,6,22.36067978,20,30.16620626,56,41.21892769,41,39.47150871,90,69.5485442,36,43.829214,31,42.05948169,24,22.53885534,18,25.92296279,38,40.06245125,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,28,34.43835072
Homewood South,42,741,116.1335438,685,110.1816682,15,31.36877428,112,47.26520919,89,54.47017533,75,45.67274899,32,36.40054945,26,26.4952826,63,51.35172831,48,35.28455753,57,35.42597917,31,30.47950131,30,34.92849839,65,50.17967716,6,24.10394159,14,25.37715508,16,32.80243893,0,24.49489743,0,24.49489743,0,24.49489743,6,24.10394159,0,24.49489743,0,24.49489743,56,38.71692137
Homewood West,43,216,65.29931087,206,64.66065264,0,14.14213562,19,18.35755975,14,18.86796226,11,16.40121947,17,19.72308292,0,14.14213562,25,39.29376541,32,33.24154028,25,30.08321791,5,12.20655562,7,14.86606875,0,14.14213562,32,29.06888371,19,23.2594067,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,10,10.63014581
Knoxville,44,770,183.0628307,744,188.3188785,0,24.49489743,82,97.59610648,0,24.49489743,16,30.33150178,0,24.49489743,44,40.64480287,45,59.14389233,56,60.17474553,0,24.49489743,46,59.19459435,109,78.70196948,181,110.806137,90,74.14175612,31,55.68662317,10,28.70540019,34,40.62019202,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,26,47.58150901
Larimer,45,447,92.36341267,414,91.24143795,0,20,14,22.91287847,7,19.5192213,24,32.92415527,0,20,52,33.89690251,97,51.77837386,5,18.68154169,28,25.76819745,48,33.2565783,41,28.7923601,47,42.53234064,8,20.51828453,20,28,0,20,12,22.91287847,0,20,0,20,5,18.68154169,6,19.07878403,0,20,33,25.78759392
Lincoln Place,46,193,89.66604709,193,89.66604709,0,22.36067978,7,23.32380758,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,6,23.32380758,60,59.22837158,0,22.36067978,41,52,12,27.58622845,0,22.36067978,8,24.41311123,18,27.29468813,0,22.36067978,32,32.46536616,9,25.61249695,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978
Lincoln-Lemington-Belmar,47,1001,146.8162116,960,146.8162116,78,69.8641539,0,24.49489743,87,67.08949247,62,42.16633728,74,48.27007354,26,30.9354166,57,35.35533906,61,46.05431576,7,24.91987159,110,55.51576353,92,57.218878,28,34.3220046,30,41.53311931,111,56.37375276,16,25.13961018,37,39.86226286,15,23.43074903,18,29.61418579,26,22.49444376,21,25.37715508,4,23.15167381,41,30.6757233
Lower Lawrenceville,48,797,133.8693393,750,126.2101422,16,17.20465053,28,44.14748011,31,34.4818793,40,24.16609195,28,26.17250466,35,25,0,14.14213562,44,30.61045573,79,55.07267925,54,35.51056181,13,18.02775638,58,43.56604182,107,76.84399781,9,17.20465053,41,41.62931659,65,37.73592453,12,23.2594067,44,28.46049894,46,44.77722635,0,14.14213562,0,14.14213562,47,48.05205511
Manchester,49,434,90.97252332,434,90.97252332,8,15.62049935,25,30.6757233,36,33.52610923,54,31.6227766,32,41.23105626,18,23.2594067,0,14.14213562,15,17.02938637,8,15.62049935,29,28.60069929,33,30.87069808,6,14.14213562,52,40.70626487,47,35.84689666,26,23.85372088,21,24.16609195,8,16.40121947,16,18.60107524,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Marshall-Shadeland,50,662,139.7354644,619,137.3135099,0,22.36067978,0,22.36067978,0,22.36067978,10,26.2488095,11,23.32380758,28,39.39543121,14,23.85372088,107,77.77531742,108,74.36396977,40,36.90528417,26,36.05551275,78,52,122,77.97435476,8,23.85372088,41,41.77319715,0,22.36067978,18,33.60059523,8,24.41311123,0,22.36067978,0,22.36067978,0,22.36067978,43,40.31128874
Middle Hill,51,657,107.452315,657,107.452315,68,43.97726685,10,17.91647287,31,33.7934905,103,56.36488268,66,44.38468204,5,15.77973384,46,43.23193264,57,40.37325848,43,23.74868417,89,53.97221507,0,17.32050808,19,20.49390153,59,39.24283374,15,19.20937271,29,29.73213749,11,17.91647287,0,17.32050808,6,16.24807681,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Morningside,52,544,116.6576187,502,112.7342007,0,20,9,22.27105745,0,20,11,24.97999199,0,20,0,20,8,21.65640783,52,45.32107677,97,70.9506871,85,53.90732789,9,22.27105745,44,29.69848481,28,23.02172887,71,50.08991915,12,27.22131518,20,23.57965225,25,31.95309062,21,25.15949125,10,23.57965225,0,20,0,20,42,39.72404813
Mount Oliver Borough,53,756,160.9503029,720,160.9503029,12,24.97999199,28,46.35730795,27,35.62302626,9,22.27105745,0,20,31,45.43126677,36,40.80441153,96,70.9365914,40,42.35563717,103,62.36184731,106,68.92749814,70,49.17316341,75,56.5862174,19,23.36664289,36,43.50861984,26,44.50842617,0,20,6,20.51828453,0,20,0,20,0,20,36,36.98648402
Mount Washington,54,2498,255.6990418,2407,252.0158725,0,30,9,32.01562119,22,36.45545227,56,58.88972746,24,41.96427052,16,34.64101615,69,49.40647731,109,67.11184694,35,36.68787266,280,103.8845513,187,77.78817391,183,81.43709229,396,130.5411812,161,85.12343978,116,76.69419796,180,82.04876599,148,70.45565982,295,118.6802427,99,73.35529974,22,34.4818793,0,30,91,50.83306011
Mt. Oliver,55,95,44,85,43,5,9,0,10,0,10,0,10,0,10,12,20,17,20,11,17,0,10,0,10,0,10,23,27,9,10,5,7,0,10,0,10,0,10,3,6,0,10,0,10,0,10,10,14
New Homestead,56,4,7,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,0,10,0,10,0,10,0,10,0,10
North Oakland,57,2118,238.5183431,2079,234.9255201,32,40.6939799,0,24.49489743,49,54.77225575,110,63.53739057,31,39.86226286,0,24.49489743,4,23.43074903,33,37.21558813,10,26.92582404,24,32.86335345,44,40.77989701,204,116.6061748,263,130.2305648,95,72.26340706,91,49.3862329,134,72.06941099,176,84.16650165,380,130.8548815,187,80.77128203,172,79.9187087,40,45.78209257,39,38.20994635
North Shore,58,141,36.40054945,133,39.29376541,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,16.40121947,0,14.14213562,0,14.14213562,0,14.14213562,15,26.92582404,36,20.59126028,7,13.45362405,52,29.73213749,14,17.20465053,8,16.40121947
Northview Heights,59,408,91,408,91,47,41,43,46,44,42,64,38,40,38,5,8,23,29,17,21,59,39,0,10,8,13,13,14,0,10,13,18,4,8,0,10,19,17,0,10,0,10,9,13,0,10,0,10
Oakwood,60,296,53,296,53,0,10,0,10,12,17,45,27,16,16,21,22,6,9,30,20,5,8,24,23,34,20,3,6,28,22,10,11,43,30,19,16,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,318,94.65199417,270,87.74394566,0,22.36067978,2,20.39607805,0,22.36067978,0,22.36067978,0,22.36067978,19,34.40930107,12,22.02271555,55,49.84977432,0,22.36067978,0,22.36067978,33,35.34119409,10,20.90454496,59,42.26109322,0,22.36067978,30,29.42787794,45,40.22437072,0,22.36067978,5,21.54065923,0,22.36067978,0,22.36067978,0,22.36067978,48,36.74234614
Perry North,62,521,120.0291631,507,120.0291631,0,24.49489743,28,35.39774004,12,29.3428015,0,24.49489743,0,24.49489743,0,24.49489743,20,21.67948339,23,30.23243292,44,63.63175308,68,42.3792402,44,39.91240409,79,49.83974318,50,46.22769733,32,29.47880595,49,40.22437072,33,40.62019202,25,34.0147027,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,14,21.58703314
Perry South,63,752,135.5249055,742,135.5249055,38,38.23610859,8,25.37715508,9,24.49489743,78,42.73172124,75,61.4817046,38,33.76388603,48,30.95157508,36,32.09361307,14,26.01922366,24,35.09985755,112,70,75,59.74110813,79,62.75348596,22,35.73513677,42,37.49666652,35,32.40370349,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,9,25.86503431,10,24.91987159
Point Breeze,64,762,131.5674732,735,132.2308587,0,26.45751311,0,26.45751311,0,26.45751311,3,25.21904043,12,31,7,27.27636339,0,26.45751311,19,32.26453161,75,71.28113355,11,30.39736831,93,56.55086206,51,37.86819246,64,54.19409562,45,48.02082881,50,47.38143096,52,40.03748244,57,41.0487515,122,65.66582064,52,33.63034344,22,27.5680975,0,26.45751311,27,32.03123476
Point Breeze North,65,680,166.300932,659,170.3555106,0,17.32050808,44,69.45502142,0,17.32050808,14,26.15339366,0,17.32050808,0,17.32050808,0,17.32050808,63,85.91274644,12,23.68543856,30,35.90264614,53,61.56297589,160,110.408333,30,35.63705936,57,45.82575695,14,26.15339366,32,32.38826948,62,62.83311229,30,36.23534186,47,33.95585369,11,21.3541565,0,17.32050808,21,35.90264614
Polish Hill,66,393,71.56116265,353,69.46221995,0,14.14213562,0,14.14213562,0,14.14213562,8,15.62049935,0,14.14213562,44,24.16609195,14,13.45362405,51,36.40054945,23,19.41648784,60,44.68780594,8,15.62049935,6,13.45362405,18,15.8113883,43,43.17406629,25,23.43074903,25,19.6977156,0,14.14213562,28,30,0,14.14213562,0,14.14213562,0,14.14213562,40,24.69817807
Regent Square,67,140,37,132,37,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,10,0,10,9,11,0,10,0,10,18,16,53,33,4,6,6,9,7,9,17,16,0,10,12,13,0,10,8,9
Ridgemont,68,26,27,26,27,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,0,10,0,10,0,10,0,10,0,10,13,20,0,10,0,10
Shadyside,69,5432,339.3847374,5287,333.394661,0,37.41657387,8,38,0,37.41657387,0,37.41657387,10,39.86226286,0,37.41657387,35,42.47352116,26,40.85339643,38,45.80392996,141,84.56358554,178,86.51011502,236,99.96499387,336,105.5604092,311,114.8433716,455,143.0244734,617,159.351812,660,187.6885718,986,186.4349753,712,155.6984265,377,113.6925679,161,100.1399021,145,93.72299611
Sheraden,70,804,170.1058494,758,166.1083983,0,24.49489743,31,44.09081537,12,28.70540019,22,29.46183973,55,50.25932749,0,24.49489743,39,67.79380503,56,41.10960958,94,69.6634768,34,44.22668878,84,56.71860365,27,39.30648801,78,51.33225107,62,56.89463947,74,61.81423784,21,35.05709629,69,72.29107829,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,46,46.92547283
South Oakland,71,706,125.2477545,706,125.2477545,4,18.68154169,0,20,43,48.21825381,0,20,0,20,10,23.57965225,0,20,48,32.77193922,22,24.49489743,56,47.34976241,22,24.33105012,18,28,67,56.05354583,38,34.94281042,56,51.46843693,50,43.52011029,40,45.3431362,46,45,63,48.50773134,75,53.88877434,48,47.4341649,0,20
