Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 to $2,499","Margin of Error; With cash rent: - $2,000 to $2,499","Estimate; With cash rent: - $2,500 to $2,999","Margin of Error; With cash rent: - $2,500 to $2,999","Estimate; With cash rent: - $3,000 to $3,499","Margin of Error; With cash rent: - $3,000 to $3,499","Estimate; With cash rent: - $3,500 or more","Margin of Error; With cash rent: - $3,500 or more",Estimate; No cash rent,Margin of Error; No cash rent
Carrick,16,1677,237.720424,1613,234.3693666,24,39.05124838,9,37.36308338,27,41.43669871,75,69.23871749,5,35.55277767,54,46.47580015,82,63.00793601,89,62.94441993,116,79.78095011,188,80.11242101,287,117.7837001,202,80.44874144,99,67.86015031,185,93.67496998,36,41.44876355,48,57.5934024,67,72.29107829,20,37.64306045,0,36.05551275,0,36.05551275,0,36.05551275,0,36.05551275,0,36.05551275,0,36.05551275,64,51.29327441
Central Business District,17,1571,209.4540522,1571,209.4540522,34,41.53311931,0,24.49489743,31,34.24908758,47,41.53311931,19,30.6757233,14,31.36877428,18,36.61966685,0,24.49489743,0,24.49489743,24,32.37282811,22,33.54101966,17,33.54101966,12,29.3428015,0,24.49489743,124,74.97332859,74,63.75735252,34,36.45545227,273,83.27064309,227,104.3839068,319,109.9363452,258,133.4128929,24,34.07345007,0,24.49489743,0,24.49489743,0,24.49489743
Central Lawrenceville,18,1323,154.6706178,1272,150.7680337,10,24.91987159,0,24.49489743,37,30.33150178,0,24.49489743,26,27.11088342,30,28.67054237,62,50.21951812,36,30.5450487,29,40.6939799,100,54.7813837,121,76.26925986,122,62.65780079,102,64.45928948,64,49.17316341,46,33.19638535,161,56.3116329,109,61.3514466,146,59.53990259,19,27.16615541,38,50.24937811,14,25.37715508,0,24.49489743,0,24.49489743,0,24.49489743,51,48.71344784
Central Northside,19,938,109.7087052,900,107.4430081,5,16.24807681,34,31.06444913,18,18.70828693,56,37.74917218,20,18.70828693,38,37.41657387,18,22.11334439,68,37.26929031,52,35.34119409,83,46.74398357,35,27.51363298,99,46.27094121,46,30.7408523,76,42.44997055,67,41.53311931,56,33.7194306,22,19,78,47.39198244,21,19.89974874,4,15,4,15.3622915,0,17.32050808,0,17.32050808,0,17.32050808,38,34.05877273
Central Oakland,20,1710,166.6553329,1667,163.3829857,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,22,28.72281323,43,39.30648801,90,58.63446086,51,32.93933818,97,56.43580424,79,41.49698784,142,66.61080993,39,31.52776554,46,35.90264614,72,46.22769733,101,55.75840744,100,51.4392846,293,94.04254356,88,45.51922671,257,101.6562836,126,68.48357467,0,17.32050808,0,17.32050808,21,37.74917218,43,35.07135583
Chartiers City,21,85,42,62,37,0,10,0,10,10,15,0,10,0,10,0,10,0,10,0,10,16,26,0,10,13,19,0,10,12,20,0,10,0,10,0,10,0,10,11,16,0,10,0,10,0,10,0,10,0,10,0,10,23,35
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,643,116.6576187,633,118.025421,66,46.78675026,56,50.08991915,16,26.45751311,30,28.7923601,44,36.3868108,7,20,13,27.22131518,98,55.31726674,28,31.78049716,6,19.5192213,18,19.92485885,53,34.4818793,47,36.51027253,46,42.14261501,29,35.7211422,44,31.19294792,22,31.2409987,10,19.5192213,0,20,0,20,0,20,0,20,0,20,0,20,10,17.69180601
Crawford-Roberts,24,899,141.4496377,899,141.4496377,44,42.19004622,60,44.27188724,26,23.32380758,19,20.80865205,61,49.24428901,82,59.54829972,22,19.72308292,0,14.14213562,48,48.05205511,82,63.12685641,50,34.43835072,101,74.33034374,48,47.85394446,55,60.67124525,17,21.47091055,14,18.86796226,46,44.55333882,88,62.20128616,15,24.16609195,12,21.47091055,9,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Duquesne Heights,25,333,84.95881355,308,85.70297544,0,14.14213562,0,14.14213562,0,14.14213562,9,16.40121947,10,19.72308292,19,24.16609195,0,14.14213562,0,14.14213562,10,19.72308292,26,24.69817807,26,40.26164428,0,14.14213562,49,40.71854614,0,14.14213562,55,47.12748667,10,19.72308292,28,26.40075756,18,22.36067978,13,18.02775638,35,27.85677655,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,25,23.70653918
East Allegheny,26,867,152.0296024,849,150.6154043,11,18.86796226,28,24.8394847,0,14.14213562,97,72.18032973,20,24.16609195,25,23.2594067,37,28.3019434,141,69.64194139,114,91.26335519,78,51.4781507,39,26.92582404,35,29,31,25.23885893,108,82.00609733,8,16.40121947,7,14.86606875,9,18.02775638,40,26.17250466,8,16.40121947,0,14.14213562,13,21.47091055,0,14.14213562,0,14.14213562,0,14.14213562,18,19.10497317
East Carnegie,27,122,44,111,41,6,8,6,8,0,10,0,10,0,10,0,10,26,35,10,11,9,10,10,12,19,25,10,11,12,13,0,10,0,10,0,10,3,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,17
East Hills,28,764,142.0985573,632,130.4645546,109,71.63797875,12,21.3541565,71,56.25833272,58,50.99019514,8,18.54723699,47,39.52214569,36,47.16990566,23,24.35159132,25,43.37049688,24,29.59729717,90,62.20932406,60,59.87486952,33,40.80441153,19,28.72281323,0,17.32050808,17,27.85677655,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,132,82.00609733
East Liberty,29,2475,240.4682931,2462,241.1742109,41,40.52159918,41,45.57411546,102,58.6600375,68,65.46754921,62,46.07602413,65,67.18630813,43,55.68662317,26,32.87856445,219,95.96874491,221,101.808644,401,130.1076477,204,92.6876475,127,71.323208,194,75.86830695,173,101.0742301,201,76.1905506,104,62.17716623,67,41.77319715,103,60.13318551,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,13,27.94637723
Elliott,30,390,112.1605991,352,111.4136437,0,17.32050808,9,21.3541565,17,24.49489743,8,19.20937271,0,17.32050808,7,17.91647287,6,17.91647287,11,21.3541565,75,61.26173357,49,41.15823125,0,17.32050808,63,41.44876355,48,56.64803615,15,26.15339366,0,17.32050808,44,43.87482194,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,38,33.1662479
Esplen,31,42,37,42,37,0,10,0,10,0,10,0,10,0,10,5,10,0,10,0,10,0,10,9,10,22,32,6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,330,74,330,74,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,14,24,39,0,10,8,13,4,7,4,6,7,12,45,44,46,34,124,65,43,38,16,18,0,10,0,10,0,10,0,10,0,10,0,10
Fineview,33,387,95.77577982,384,95.77577982,41,34.4818793,21,26.92582404,10,14.86606875,88,43.17406629,0,14.14213562,28,36.40054945,14,25.07987241,7,14.14213562,33,46.09772229,80,61.85466838,9,14.14213562,9,16.40121947,0,14.14213562,32,46.09772229,12,22.36067978,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,3,11.18033989
Friendship,34,995,126.8227109,995,126.8227109,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,11,20.59126028,0,14.14213562,10,18.02775638,31,27.78488798,11,19.72308292,13,21.47091055,102,56.08029957,159,70.17834424,121,66.28725368,40,28.01785145,105,70.71067812,102,64.03124237,75,53.93514624,122,63.34824386,67,47.07440918,0,14.14213562,17,35.44009029,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Garfield,35,943,108.3651235,857,110.317723,48,38.39270764,12,27.58622845,56,32.92415527,22,29,34,26.55183609,19,30.19933774,21,21.23676058,73,42.96510212,56,35.29872519,53,32.28002478,72,43.35896678,50,36.7559519,142,61.13100686,44,33.85262176,68,44.46346815,62,38.66522986,7,22.36067978,15,19.67231557,0,22.36067978,1,20.88061302,2,20.39607805,0,22.36067978,0,22.36067978,0,22.36067978,86,50.35871325
Glen Hazel,36,241,80,241,80,11,16,13,19,57,61,10,16,16,18,21,28,30,48,24,25,22,30,12,21,0,10,20,33,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,1442,251.6366428,1369,246.5643932,0,30,0,30,10,32.49615362,0,30,10,32.01562119,20,34.81379037,20,35.83294573,42,42.87190222,78,86.07554821,58,49.70915409,125,109.0779538,75,59.38013136,93,87.24104539,57,54.4334456,105,91.27431183,273,143.4154803,73,67.14164133,188,94.41398202,95,81.28960573,47,50.36864104,0,30,0,30,0,30,0,30,73,56.70978752
Hays,38,92,40,74,37,0,10,0,10,0,10,2,3,0,10,22,26,3,6,0,10,0,10,25,30,11,15,0,10,3,6,0,10,0,10,8,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,18,21
Hazelwood,39,854,173.634674,812,171.6129366,36,55.21775077,44,56.1248608,9,28.72281323,66,65.31462317,61,58.52349955,25,29.54657341,95,82.29823813,143,91.84225607,90,69.26037828,53,49.24428901,30,30.5122926,42,44.91102315,70,51.75905718,5,25.76819745,0,26.45751311,35,37.05401463,4,26.0959767,0,26.45751311,4,25.21904043,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,42,33.18132005
Highland Park,40,1489,219.4310826,1440,216.0902589,0,28.28427125,0,28.28427125,11,32,0,28.28427125,0,28.28427125,13,32.57299495,12,31.44837039,52,55.22680509,76,54.94542747,44,49.76946855,202,111.6333284,110,68.09552114,149,91.0604195,133,91.90756226,84,57.66281297,106,66.25707509,140,91.27431183,176,108.2866566,116,99.16652661,16,37.80211634,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,49,37.62977544
Homewood North,41,670,124.0080643,645,122.2701926,85,47.44470466,46,44.33959855,36,33.83784863,49,46.9893605,101,62.96824597,14,22.02271555,20,29.76575213,20,29.41088234,21,24,50,43.58898944,32,40.31128874,38,44.72135955,17,26.2488095,26,23.4520788,28,31.9217794,56,51.59457336,0,22.36067978,0,22.36067978,0,22.36067978,6,21.9317122,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,25,32.92415527
Homewood South,42,686,104.4653052,646,102.5524256,21,31.78049716,74,37.93415348,89,49.43682838,101,46.17358552,48,40.31128874,28,24.8997992,52,38.49675311,33,25.90366769,58,38.17066937,33,31.28897569,17,31.81194744,64,46.43274707,6,23.74868417,12,24.18677324,0,24.49489743,5,23.74868417,0,24.49489743,0,24.49489743,5,24.10394159,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,40,34.43835072
Homewood West,43,206,69.52697318,195,68.11754546,0,14.14213562,18,16.64331698,17,16.40121947,20,16.1245155,13,14.86606875,5,12.20655562,40,45.45327271,34,32.984845,18,27.20294102,3,11.18033989,21,25.07987241,0,14.14213562,3,11.66190379,3,11.66190379,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,11,12.04159458
Knoxville,44,746,206.7897483,723,209.2056405,0,24.49489743,64,76.34788799,0,24.49489743,4,23.74868417,0,24.49489743,84,70.88723439,49,66.85057965,52,50.98038839,0,24.49489743,31,52.95280918,113,93.50401061,185,102.2399139,82,87.49285685,29,52.04805472,11,28.70540019,19,34.66987165,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,23,44.09081537
Larimer,45,438,88.81441324,401,87.7040478,0,20,34,48.21825381,4,18.33030278,16,25.70992026,0,20,23,23.53720459,74,42.54409477,9,19.5192213,35,25.57342371,56,34.2928564,32,27.29468813,55,44.47471192,26,25.65151068,19,25.84569597,0,20,10,22.27105745,0,20,0,20,3,18.68154169,5,18.33030278,0,20,0,20,0,20,0,20,37,25.35744467
Lincoln Place,46,177,79.95623803,166,79.95623803,0,22.36067978,9,25,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,9,25,66,65.30696747,0,22.36067978,8,23.32380758,26,32.74141109,9,24.41311123,0,22.36067978,17,26.34387974,0,22.36067978,22,31.30495169,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,11,26.90724809
Lincoln-Lemington-Belmar,47,1108,148.9395851,1081,148.0135129,66,62.71363488,0,24.49489743,66,48.06245936,70,42.22558466,76,52.04805472,27,33.61547263,44,33.9411255,63,43.79497688,33,38.94868419,133,61.78187436,118,60.93439095,34,45.43126677,49,41.49698784,100,51.93264869,23,27.44084547,61,54.77225575,26,29.51270913,21,27.31300057,42,27.78488798,25,25.37715508,0,24.49489743,4,23.15167381,0,24.49489743,0,24.49489743,27,25.55386468
Lower Lawrenceville,48,800,118.6970935,779,115,25,23.32380758,26,42.20189569,26,30.6757233,61,47.07440918,29,25.8069758,27,25,0,14.14213562,55,34.05877273,43,44.14748011,32,27.65863337,27,26.92582404,55,43.08131846,114,75.00666637,9,18.02775638,53,43.08131846,72,46.64761516,30,27.20294102,40,29.96664813,55,46.32493929,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,21,36.40054945
Manchester,49,475,96.89685237,475,96.89685237,6,14.14213562,17,23.2594067,49,38.32753579,32,26,29,36.40054945,45,37,0,14.14213562,9,18.02775638,8,16.40121947,39,38.94868419,31,33.12099032,4,12.20655562,64,48.60041152,56,39.20459157,27,24.20743687,22,22.36067978,9,17.20465053,28,24.18677324,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Marshall-Shadeland,50,599,152.059199,570,149.4322589,0,22.36067978,0,22.36067978,0,22.36067978,10,26.90724809,13,24.41311123,24,33.19638535,19,24.2899156,114,80.83934686,89,76.55716818,45,32.17141588,16,31.2409987,73,47.22287581,114,68.43244844,6,21.9317122,47,53.6749476,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,29,38.58756276
Middle Hill,51,660,111.7497204,660,111.7497204,93,54.53439282,9,17.32050808,28,32.26453161,92,48.47679857,55,39.8246155,5,16.24807681,52,57.39337941,51,39.30648801,32,22.09072203,80,54.52522352,10,17.91647287,23,20.42057786,47,35.34119409,13,18.54723699,26,24.59674775,10,17.32050808,24,31.36877428,3,15.3622915,7,16.76305461,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Morningside,52,580,132.4273386,529,127.2556482,0,20,10,23.57965225,0,20,11,24.97999199,0,20,0,20,9,22.27105745,53,50.009999,69,63.4428877,91,59.40538696,15,23.36664289,50,31.78049716,36,25.90366769,77,53.76802024,17,32.92415527,38,31.2409987,9,22.91287847,44,32.51153641,0,20,0,20,0,20,0,20,0,20,0,20,51,36.87817783
Mount Oliver Borough,53,872,161.5549442,835,161.4310999,10,26.45751311,29,44.50842617,37,45.70557953,11,24.97999199,8,21.65640783,8,20.51828453,34,47.11687596,113,84.3860178,48,49.80963762,139,80.61637551,119,70.06425622,104,64.16385275,89,62.36986452,24,27.29468813,35,35.80502758,18,25.15949125,0,20,9,21.65640783,0,20,0,20,0,20,0,20,0,20,0,20,37,37.68288736
Mount Washington,54,2557,236.9261488,2496,233.615068,7,30.34798181,24,39.30648801,19,35.22782991,57,52.23983155,34,41.86884283,18,32.75667871,47,39.16631206,84,56.41808221,69,48.84669897,260,99.53893711,130,54.69003566,197,81.07404023,354,119.7580895,170,83.87490686,113,76.3609848,250,93.25770746,155,74.67261881,344,116.2927341,140,80.07496488,24,33.01514804,0,30,0,30,0,30,0,30,61,38.0394532
Mt. Oliver,55,97,57,97,57,6,8,0,10,0,10,0,10,0,10,19,31,17,20,17,27,0,10,0,10,0,10,29,31,2,3,4,7,0,10,0,10,0,10,3,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10
New Homestead,56,2,5,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
North Oakland,57,2099,227.0946939,2045,225,35,44.95553359,18,36.61966685,40,47.58150901,108,66.03786792,23,37.54996671,0,24.49489743,52,59.76621119,22,34.2928564,10,28.08914381,31,40.01249805,42,39.68626967,129,91.7496594,265,129.3251716,110,75.02666193,130,68.45436436,178,74.22263806,172,86.87347121,333,117.2220116,131,67.63135368,181,88.11356309,35,46.86149806,0,24.49489743,0,24.49489743,0,24.49489743,54,41.54515616
North Shore,58,154,45.12205669,145,46.09772229,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,18.02775638,0,14.14213562,0,14.14213562,0,14.14213562,18,29.73213749,32,23.2594067,8,13.45362405,60,34.4818793,18,22.36067978,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053
Northview Heights,59,498,81,498,81,58,47,54,53,74,67,77,51,52,46,5,8,23,26,11,12,43,42,0,10,29,30,11,12,0,10,29,21,5,8,0,10,24,30,0,10,0,10,3,6,0,10,0,10,0,10,0,10,0,10
Oakwood,60,316,50,316,50,0,10,0,10,0,10,59,28,19,16,0,10,6,10,31,18,11,13,27,25,33,21,4,7,37,25,17,13,44,38,17,14,11,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,311,91.84770003,277,87.13782187,0,22.36067978,3,20.61552813,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,10,20.88061302,46,41.76122604,0,22.36067978,0,22.36067978,27,28.86173938,46,43.63484846,70,47.11687596,0,22.36067978,7,22.36067978,53,43.31281566,12,27.58622845,3,20.88061302,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,34,35.29872519
Perry North,62,556,115.6157429,532,112.8937554,0,24.49489743,35,42.48529157,20,34.2928564,0,24.49489743,0,24.49489743,0,24.49489743,20,20.73644135,9,22.64950331,5,23.74868417,71,43.65775991,57,37.50999867,79,46.24932432,45,43.15089802,15,22.20360331,83,50.35871325,80,57.80138407,13,25.15949125,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,24,26.90724809
