Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Sheraden,70,3321,338.3001626,61,46.5295605,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,7,25.37715508,8,25.37715508,25,30,33,44.18144407,83,66.31741853,124,59.88321969,81,57.0876519,995,205.871319,155,78.98101038,190,77.67238892,455,126.83848,424,141.8308852,446,127.9140336,169,86.90799733,0,24.49489743,65,64.89992296
South Oakland,71,1256,204.4944987,49,43.43961326,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,18,33.77869151,0,20,14,24.97999199,27,38.10511777,7,20.51828453,230,98.43271814,43,38.34057903,87,54.3783045,241,92.66067127,67,56.29387178,295,100.0899595,84,43.41658669,40,30.7408523,54,33.30165161
South Shore,72,8,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,6,0,10,4,6,0,10,0,10
South Side Flats,73,4143,420.5115932,20,29.68164416,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,10,26.92582404,0,24.49489743,6,25.37715508,31,33.45145737,28,30.49590136,70,49.54795657,11,28.08914381,951,241.0580843,128,80.8269757,167,94.33451118,193,90.4046459,333,136.5540186,1185,208.1609954,559,139.6316583,303,110.5214911,148,73.4982993
South Side Slopes,74,2991,367.4221006,19,28.35489376,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,26,31.70173497,12,27.65863337,49,38.78143886,47,40.4103947,62,46.28174586,959,226.0774204,146,70.07139217,147,68.9710084,294,114.7170432,312,118.9579758,563,162.9662542,197,71.49125821,109,74.06078585,49,41.85689907
Spring Garden,75,595,118.7139419,2,11.18033989,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,41,34.4818793,4,11.66190379,31,21.26029163,35,29.52964612,21,19.72308292,15,24.16609195,244,73,44,27.20294102,19,18.02775638,37,31.78049716,47,29.96664813,32,22.20360331,23,27.85677655,0,14.14213562,0,14.14213562
Spring Hill-City View,76,1615,248.0544295,12,19.10497317,0,17.32050808,10,22.11334439,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,16,23.68543856,0,17.32050808,24,27.80287755,9,19.89974874,6,18.54723699,105,63.92182726,37,35.0142828,720,179.4129315,69,69.60603422,57,36.74234614,143,73.19152956,107,51.81698563,182,76.01315676,96,64.87680633,13,21.3541565,9,20.61552813
Squirrel Hill North,77,5494,363.0564694,18,38.07886553,0,31.6227766,0,31.6227766,14,37.20215048,0,31.6227766,10,34,0,31.6227766,18,41.03656906,0,31.6227766,0,31.6227766,11,34,13,31.76476035,12,36.05551275,14,34.69870315,11,34.4818793,313,113.2475165,16,33.76388603,116,56.04462508,339,101.9656805,118,70.16409338,1346,192.2654415,1357,180.9778992,958,180.748444,810,157.2259521
Squirrel Hill South,78,11164,636.6616056,9,36.12478374,0,36.05551275,0,36.05551275,0,36.05551275,0,36.05551275,12,44.5421149,6,37,0,36.05551275,22,40.33608806,19,48.34252786,36,43.78355856,13,36.87817783,42,44.86646855,86,62.56196928,52,52.62128847,1293,272.0257341,85,58.16356248,290,130.6981255,710,201.9529648,554,178.9133869,2941,347.7326559,2649,313.9984076,954,188.7511589,1391,248.660411
St. Clair,79,163,51,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,8,0,10,0,10,12,12,69,42,5,7,11,7,3,5,30,24,8,8,19,22,0,10,0,10
Stanton Heights,80,3683,306.3168294,41,37.64306045,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,21,23.17326045,16,22.47220505,51,40.77989701,89,44.33959855,57,48.5386444,938,167.0508905,103,51.48786265,258,93.49331527,533,141.7145017,335,89.99444427,723,150.1399347,411,115.3906409,64,49.4165964,43,30.0499584
Strip District,81,611,101,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,18,0,10,0,10,41,29,47,34,263,74,112,47,92,75,35,26
Summer Hill,82,915,66,11,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,7,11,6,10,21,19,0,10,18,14,5,9,25,29,273,85,35,20,47,29,151,67,65,45,167,56,68,36,7,10,9,13
Swisshelm Park,83,971,93,26,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,18,22,17,31,28,27,18,203,61,37,23,11,11,84,29,79,35,190,53,197,70,27,20,21,17
Terrace Village,84,924,157.7941697,11,20.61552813,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,33,34.6554469,23,22.11334439,6,17.32050808,38,42.42640687,44,32.20248438,19,20.42057786,288,85.53946458,83,53.86093204,126,71.95832127,89,51.66236541,77,38.8458492,11,16.24807681,55,42.67317659,21,43.37049688,0,17.32050808
Troy Hill,85,1874,289.8223594,9,17.20465053,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,19,23.2594067,9,16.40121947,4,12.20655562,31,29.15475947,594,155.2191998,168,96.40020747,72,44.28317965,308,104.6900186,133,75.23961722,267,95.75489544,117,51.4003891,103,54.70831747,40,50.69516742
Upper Hill,86,1351,232.1314283,22,28.23118843,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,24,35.39774004,21,31.36877428,0,17.32050808,26,30.29851482,0,17.32050808,291,95.42012366,176,97.76502442,91,54.46099522,212,140.573824,113,55.72252686,171,75.73638492,165,120.8387355,8,18.54723699,31,37.74917218
Upper Lawrenceville,87,2028,277.7588882,41,49.35585072,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,7,17.91647287,23,34.07345007,44,39.37003937,23,26.70205985,45,38.65229618,519,138.3437747,144,84.60496439,41,33.64520768,366,157.492857,121,64.77653896,467,159.2136929,140,65.8634952,30,29.94995826,17,21.3541565
West End,88,112,52,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,66,38,0,10,0,10,13,18,20,23,4,8,9,15,0,10,0,10
West Oakland,89,772,167.1705716,12,16.40121947,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,55,59.8414572,12,19.72308292,5,12.80624847,128,50.69516742,58,36.67424164,57,49.04079934,127,69.52697318,37,31.78049716,161,72.40165744,90,51.03920062,15,22.36067978,15,27.85677655
Westwood,90,2601,226.8126981,120,113.4416149,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,8,18.02775638,9,17.20465053,0,14.14213562,26,26.92582404,10,18.86796226,60,48.54894438,80,53.48831648,20,21.63330765,881,161.4837453,53,35.34119409,65,41.10960958,355,111.3956911,178,64.41273166,535,123.239604,162,75.16648189,16,26,23,28.7923601
Windgap,91,1026,179.3014222,12,19.72308292,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,0,14.14213562,12,17.20465053,0,14.14213562,27,43.17406629,0,14.14213562,481,121.6963434,58,40.80441153,57,29.52964612,177,78.29431652,110,72.20110802,54,33.24154028,29,34.4818793,0,14.14213562,0,14.14213562
