Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Bluff,11,2168,253.0158098,14,23.57965225,0,20,0,20,0,20,0,20,8,22.91287847,0,20,9,23.57965225,5,18.68154169,8,22.91287847,15,21.33072901,8,22.91287847,96,48.92851929,201,80.69076775,18,28.7923601,463,102.5182911,514,107.1540946,146,60.27437266,282,107.939798,112,51.623638,146,57.00877126,72,72.40856303,17,22.20360331,34,71.05631569
Bon Air,12,603,102,5,7,0,10,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,7,11,0,10,7,9,192,68,58,55,38,29,87,51,106,61,53,35,45,35,0,10,0,10
Brighton Heights,13,5384,347.6032221,124,56.83308895,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,10,34.2928564,0,26.45751311,3,25.21904043,0,26.45751311,0,26.45751311,18,32.57299495,23,27.85677655,56,36.4280112,96,55.58776844,83,41.09744518,1520,241.8057071,250,89.10667764,369,107.1634266,542,127.6988645,573,126.6333289,1242,189.3383215,374,90.1276872,83,49.56813493,18,28.44292531
Brookline,14,9648,631.8860657,45,43.33589736,10,40.6939799,0,38.72983346,0,38.72983346,43,78.49203781,5,39,23,50.55689864,0,38.72983346,0,38.72983346,0,38.72983346,95,76.72027112,94,70.27801932,177,123.9879026,240,120.5902152,111,79.74333828,2751,337.8091177,554,142.1759473,674,174.6539436,1036,211.9905658,1137,265.7461194,1786,262.0858638,687,161.5147052,102,62.86493458,78,73.76991257
California-Kirkbride,15,499,96,12,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,8,17,16,16,18,22,26,15,13,159,44,27,22,14,12,97,49,21,15,70,43,24,23,0,10,0,10
Carrick,16,7337,495.6904276,201,96.17692031,0,36.05551275,8,37,0,36.05551275,0,36.05551275,9,37.36308338,15,41.58124577,0,36.05551275,45,62.40192305,30,48.5386444,53,42.84857057,70,60.14981297,211,91.34549797,151,55.1724569,177,72.91090453,2316,264.6034769,549,143.1886867,423,107.3172866,832,168.2973559,803,161.1955334,1064,196.2880536,321,146.4786674,26,40.16217126,33,36.51027253
Central Business District,17,2312,313.5841195,11,28.08914381,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,3,23.43074903,0,24.49489743,0,24.49489743,16,29.18903904,26,31.89043744,197,83.87490686,92,77.29165544,50,35.76310948,330,142.8145651,120,68.05145112,533,140.5097861,404,126.3724654,407,155.3479964,123,90.19423485
Central Lawrenceville,18,3962,337.9511799,43,30.5122926,0,24.49489743,0,24.49489743,1,22.56102835,0,24.49489743,1,22.71563338,0,24.49489743,12,33.54101966,0,24.49489743,0,24.49489743,22,27.31300057,58,53.16954015,67,36.35931793,126,67.12674579,82,60.8276253,912,166.1083983,138,61.64414003,170,72.22880312,403,126.7241098,301,95.89577676,960,144.8689063,451,108.6554186,131,52.09606511,84,45.95650117
Central Northside,19,2209,242.5613325,54,36.02776707,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,6,17.32050808,0,17.32050808,6,16.76305461,27,27.38612788,51,28.80972058,73,42.96510212,10,21.3541565,392,144.8654548,103,43.57751714,111,47.07440918,198,63.53739057,165,60.37383539,579,110.1816682,338,89.58236434,55,25.65151068,41,26.73948391
Central Oakland,20,957,196.4102849,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,12,23.68543856,13,24.49489743,0,17.32050808,28,42.42640687,0,17.32050808,53,83.21057625,6,20.61552813,0,17.32050808,0,17.32050808,9,19.20937271,116,54.04627647,39,28.08914381,74,36.59234893,136,62.65780079,0,17.32050808,202,93.45587194,167,74.60562981,40,50.03998401,62,61.54673021
Chartiers City,21,443,103,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,13,15,17,0,10,39,32,126,47,29,30,24,23,95,51,21,20,38,48,42,37,0,10,5,7
Chateau,22,3,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,3,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,2594,233.9871791,10,19.49358869,0,20,0,20,0,20,0,20,0,20,0,20,7,21.07130751,0,20,4,18.33030278,5,19.07878403,6,20.51828453,98,52.29722746,20,19.02629759,40,23.8117618,738,139.0179844,159,78.15369473,263,86.22064718,336,90.36592278,238,70.56911506,563,113.2475165,89,36.24913792,13,21.44761059,5,19.5192213
Crawford-Roberts,24,1545,202.2770377,11,19.72308292,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,16.40121947,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,32,28.3019434,37,34.66987165,94,67.00746227,71,46.5295605,540,132.3102415,108,54.20332093,145,73.40980861,188,88.60022573,153,71.84705979,90,56.61271942,44,30.08321791,0,14.14213562,23,28.7923601
Duquesne Heights,25,2034,293.7158491,19,24.16609195,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,5,14.14213562,0,14.14213562,0,14.14213562,29,31.6227766,42,38.01315562,0,14.14213562,24,22.36067978,554,169.0473307,103,50.60632372,160,66.03029608,190,87.66413178,134,50.11985634,432,114.6342008,288,123.4706443,35,27.85677655,19,22.8035085
East Allegheny,26,1803,230.5211487,21,34.4818793,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,14,33.52610923,8,17.20465053,80,51.97114584,50,34.4818793,50,53.15072906,64,34.13209633,457,138.7551801,100,67.23094526,109,65.19202405,155,69.35416354,111,52.83937925,378,152.2957649,161,64.44377394,22,26.83281573,23,20.59126028
East Carnegie,27,448,95,6,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,2,19,9,12,6,9,0,10,137,44,41,37,41,29,39,19,76,33,68,40,10,26,0,10,7,24
East Hills,28,1882,285.4014716,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,38,42.42640687,36,48.12483766,29,38.02630668,111,78.72102642,665,193.7291924,162,79.0569415,193,104.9285471,359,117.392504,71,49.73932046,133,74.73954776,78,45.27692569,0,17.32050808,7,18.54723699
East Liberty,29,3912,386.4168733,23,35.31288717,9,29.47880595,0,28.28427125,0,28.28427125,0,28.28427125,2,26.75817632,0,28.28427125,0,28.28427125,35,42.04759208,7,30.41381265,71,49.46716082,63,65.21502894,140,74.23610981,21,27.82085549,39,34.16138171,740,193.8710912,273,130.8548815,182,85.1293134,526,149.6262009,318,120.8470107,798,161.2482558,508,119.7205079,62,50.23942675,95,51.56549234
Elliott,30,1514,191.1517722,11,17.54992877,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,17,22.89104628,15,27,14,20.42057786,43,34.14674216,51,32.07802986,503,108.5403151,124,69.53416426,95,45.033321,196,74.92663078,173,67.37210105,192,88.12491135,63,35.39774004,11,21.3541565,6,17.32050808
Esplen,31,252,103,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,11,0,10,12,14,0,10,95,59,31,35,21,27,37,55,11,12,32,31,8,14,0,10,0,10
Fairywood,32,828,194,39,44,0,10,0,10,13,30,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,107,70,66,76,25,22,101,64,83,46,269,108,106,87,9,15,10,15
Fineview,33,903,214.3944962,11,14.86606875,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,3,11.66190379,0,14.14213562,8,12.80624847,30,38.07886553,40,39.29376541,0,14.14213562,302,121.4907404,70,42.43819035,38,26,147,73.53910524,133,68.24221567,73,39.96248241,45,39.45883931,0,14.14213562,3,12.20655562
Friendship,34,1483,231.0086578,7,20.59126028,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,7,19.72308292,0,14.14213562,8,20.59126028,0,14.14213562,13,21.47091055,157,92.84934033,20,25.07987241,11,21.47091055,146,59.64059021,56,61.81423784,350,125.4192968,494,147.6482306,78,54.4242593,136,84.05950273
Garfield,35,2571,247.8749685,12,23.2594067,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,5,21.54065923,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,27,30.16620626,45,36.24913792,39,28.3019434,83,42.70831301,45,29.83286778,659,136.242431,289,97.41663102,154,53.47896783,514,105.484596,233,70.68238819,263,109.1879114,128,46.36809248,30,27.5317998,45,32.83291032
Glen Hazel,36,510,163,24,26,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,24,20,25,37,45,12,19,34,30,174,95,6,14,30,30,113,95,23,25,12,18,6,14,0,10,0,10
Greenfield,37,5757,462.22289,18,34.11744422,0,30,0,30,0,30,0,30,0,30,0,30,0,30,12,33.52610923,0,30,10,32.01562119,52,59.46427499,84,72.88346863,64,65.03076195,20,34.71310992,1218,235.2764332,305,167.2722332,356,127.9921873,551,195.7217413,408,148.1350735,1279,266.4488694,877,215.7150899,182,86.04649906,321,136.3561513
Hays,38,306,74,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,3,12,12,0,10,11,12,98,55,27,18,28,22,33,22,75,54,20,14,0,10,0,10,0,10
Hazelwood,39,3002,394.25753,18,31.32091953,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,17,29.79932885,0,26.45751311,0,26.45751311,26,31.84336666,65,48.89785271,181,113.2563464,56,38.74274126,859,175.9289629,243,110.3585067,97,55.73149917,556,208.1561914,389,136.8612436,277,94.3610089,132,60.91797764,40,41.03656906,46,58.97457079
Highland Park,40,4727,478.8152044,13,29.3428015,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,0,28.28427125,18,39.25557285,0,28.28427125,26,35.22782991,22,37.09447398,52,63.12685641,928,271.5418936,59,47.9895822,185,69.97856815,410,158.9056324,253,111.6019713,1162,225.9092738,920,220.5923843,298,140.3317498,381,115.926701
Homewood North,41,1783,229.9391224,14,22.02271555,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,12,26.2488095,2,20.39607805,40,43.0464865,22,24.10394159,33,28.01785145,35,29.78254522,60,38.18376618,462,113.9649069,136,66.28725368,162,71.35124386,414,108.0740487,192,67.90434449,85,41.95235393,94,47.81213235,19,36.89173349,1,20.22374842
Homewood South,42,1423,178.8239358,17,21.74856317,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,18,29.68164416,27,33.7934905,85,53.59104403,61,48.45616576,72,44.48595284,408,109.7269338,75,38.79432948,74,37.76241518,225,77.95511529,127,47.97916214,120,49.12229636,96,48.27007354,15,28.23118843,3,24.49489743
Homewood West,43,667,135.8712626,8,12.80624847,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,6,14.14213562,0,14.14213562,40,39.40812099,19,23.08679276,51,46.04345773,11,11.66190379,214,67.95586803,72,45.88027899,9,10.29563014,99,56.0357029,103,63.28506933,27,29.61418579,6,13.45362405,0,14.14213562,2,10.77032961
Knoxville,44,2478,386.7066071,71,71.89575787,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,33,58.44655678,73,70.12132343,2,23.43074903,117,77.74959807,72,52.67826876,1111,282.7401634,196,115.5638352,163,93.71766109,229,146.4718403,162,81,111,59.37171044,107,75.3923073,21,31.38470965,10,28.08914381
Larimer,45,1111,179.9055308,11,32.07802986,0,20,0,20,0,20,0,20,0,20,0,20,0,20,21,32.63433774,0,20,19,22.02271555,23,20.95232684,33,23.51595203,68,51.0881591,0,20,409,95.80709786,88,38.23610859,39,24.91987159,240,107.1494284,121,49.37610758,37,22.3159136,2,17.77638883,0,20,0,20
Lincoln Place,46,2621,351.5664944,44,60.26607669,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,17,26.30589288,19,27.07397274,51,32.75667871,82,47.15930449,1052,221.4475107,174,93.22553298,163,62.10475022,226,75.49834435,338,115.6633045,372,132.8382475,69,44.20407221,14,29.73213749,0,22.36067978
Lincoln-Lemington-Belmar,47,3305,310.9324686,45,30.43024811,0,24.49489743,0,24.49489743,0,24.49489743,7,25.37715508,0,24.49489743,9,23.15167381,12,23.36664289,28,30.33150178,22,29.74894956,8,25.86503431,36,42.62628297,53,29.46183973,133,56.90342696,52,34.16138171,1142,182.3924341,139,70.69653457,209,80.7093551,536,160.9596223,267,91.51502609,401,102.4060545,173,66.03786792,9,24.10394159,24,27.14774392
Lower Lawrenceville,48,1936,209.5375861,8,15.62049935,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,37,29.15475947,10,18.02775638,45,51.97114584,18,23.2594067,50,29.73213749,410,108.3743512,48,36.7151195,183,71.21797526,309,106.8877916,125,65.8559033,492,126.0357092,147,62.42595614,30,26.92582404,24,25
Manchester,49,1516,226.715681,16,17.69180601,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,16.40121947,2,10.77032961,39,28.7923601,33,27.65863337,324,115.8835623,44,32.06243908,144,59.94163828,241,98.48857802,240,82.07313811,286,124.3543325,103,43.829214,16,22.36067978,19,19.72308292
Marshall-Shadeland,50,4275,440.4474997,83,42.15447782,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,13,28.28427125,33,32.57299495,22,32.80243893,18,23.85372088,64,41.43669871,281,114.0438512,153,59.21148537,123,59.20304046,1193,227.101299,901,137.2188034,373,128.3121195,350,99.75469914,306,104.2592922,252,103.5229443,110,50.45790325,0,22.36067978,0,22.36067978
Middle Hill,51,1351,223.4949664,16,18.70828693,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,16,28.72281323,20,19.5192213,72,70.43436661,74,47.08502947,72,44.95553359,41,29.22327839,338,99.38812806,102,56.47123161,107,53.12249994,231,86.7755726,125,77.20103626,66,44.05678154,66,68.14690015,5,16.76305461,0,17.32050808
Morningside,52,2546,265.8006772,76,48.948953,0,20,0,20,0,20,0,20,0,20,0,20,16,31.2409987,0,20,0,20,18,23.85372088,0,20,67,56.6568619,20,25.49509757,44,41.86884283,656,159.351812,106,55.69560126,164,71.61703708,269,106.8129206,87,48.64154603,621,123.7861058,222,80.32434251,88,49.93996396,92,49.3862329
Mount Oliver Borough,53,2079,255.2821968,49,46.13025038,0,20,0,20,0,20,0,20,8,21.07130751,0,20,0,20,10,23.57965225,0,20,29,23.76972865,65,62.36986452,163,89.05054744,32,31.57530681,65,44.24929378,640,174.3416187,185,74.35724578,165,73.8241153,282,102.2448043,143,71.77046746,175,72.13182377,58,38.62641583,10,22.91287847,0,20
Mount Washington,54,6490,443.7938711,39,32.18695388,0,30,0,30,0,30,0,30,6,29.39387691,6,29.39387691,0,30,0,30,0,30,31,35.11409973,75,49.76946855,70,41.26742056,174,83.156479,47,51.16639522,1601,227.6883835,208,71.09149035,240,76.34788799,748,162.3360712,734,164.1828249,1589,274.3045752,644,140.9042228,138,66.74578638,140,60.29925373
Mt. Oliver,55,453,100,7,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,12,11,8,12,0,10,166,62,48,41,19,19,79,55,86,46,23,16,5,7,0,10,0,10
New Homestead,56,703,70,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,2,5,43,34,8,10,17,15,218,56,7,10,25,17,82,31,89,36,135,50,70,32,3,5,0,10
North Oakland,57,2793,312.1634187,12,29.3428015,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,20,30.9354166,0,24.49489743,0,24.49489743,9,26.92582404,0,24.49489743,64,53.01886457,53,53.95368384,180,82.98795093,38,39.2173431,72,51,214,98.63569334,51,43.84062043,818,205.4726259,856,183.4093782,207,86.24384036,199,81.34494453
North Shore,58,171,58.85575588,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,9,17.20465053,0,14.14213562,17,20.59126028,8,17.20465053,5,13.45362405,65,32.57299495,19,23.2594067,35,30.6757233,13,16.40121947
Northview Heights,59,620,145,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,35,6,9,72,46,45,40,26,32,185,77,111,68,5,8,50,47,70,55,7,10,3,6,0,10,11,13
Oakwood,60,852,103,14,15,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,8,27,24,6,10,22,18,21,25,285,66,6,9,84,70,72,30,109,65,121,38,63,27,12,12,5,9
Overbrook,61,2828,228.4863234,18,23.2594067,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,3,20.88061302,4,20.88061302,27,23.2594067,19,19.33907961,60,33.03028913,95,50.73460358,38,29.9165506,1122,156.6716311,122,42.98837052,196,65.13831438,267,77.06490771,401,92.4175308,310,73.34848328,118,39.58535083,15,30.47950131,13,28.28427125
Perry North,62,2798,261.6906571,15,25,0,24.49489743,2,22.71563338,2,22.71563338,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,7,24.10394159,0,24.49489743,9,25.37715508,10,23.02172887,59,36.40054945,107,46.89349635,64,49.4165964,626,126.8621299,51,31.25699922,184,63.19810124,442,97.03092291,215,76.70723564,641,143.8957956,286,81.49846624,31,28.60069929,47,26.94438717
Perry South,63,2277,281.8527985,3,23.43074903,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,9,29.3428015,46,49.40647731,56,49.37610758,68,49.2138192,45,35.76310948,689,136.1322886,271,108.0185169,112,46.22769733,271,89.34203938,249,98.71676656,291,104.1345284,135,61.39218191,14,25.37715508,18,26.38181192
Point Breeze,64,4117,240.8194344,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,7,29.81610303,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,0,26.45751311,33,50.16971198,0,26.45751311,8,27.27636339,6,25.76819745,22,28.39013913,288,94.79451461,53,36.89173349,108,52.89612462,219,68.78226516,118,56.0178543,1156,143.9444337,1017,142.1196679,512,105.4656342,570,112.0669443
Point Breeze North,65,1451,212.5111762,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,14,26.15339366,107,78.19207121,43,70.43436661,20,20.14944168,131,77.88452991,203,105.3138168,478,128.3004287,247,95.83840566,56,44.10215414,152,66.49060084
Polish Hill,66,1093,150.0833102,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,8,16.40121947,0,14.14213562,6,13.45362405,10,14.86606875,5,11.66190379,32,19.10497317,22,17.20465053,0,14.14213562,279,68.60029154,65,39,51,28.28427125,191,72.06941099,75,39.40812099,213,81.98780397,87,44.77722635,31,25.07987241,18,15
Regent Square,67,798,63,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,62,29,10,14,0,10,47,25,15,15,234,57,260,47,105,41,65,35
Ridgemont,68,270,92,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,13,19,5,8,16,22,79,52,6,9,20,19,33,28,9,12,57,52,32,28,0,10,0,10
Shadyside,69,9561,668.8049043,78,62.98412498,0,37.41657387,1,36.11094017,0,37.41657387,0,37.41657387,0,37.41657387,6,38,7,38,4,37.41657387,6,36.40054945,24,44.10215414,38,42.83689998,17,40.55859958,41,47.63402146,26,40.84115571,685,187.9521216,31,41.50903516,125,76.03288762,498,158.9937106,336,124.6715685,3329,440.0465884,2294,293.429719,919,175.2483951,1096,214.9023034
