Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $49,999","Margin of Error; Total: - $40,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $69,999","Margin of Error; Total: - $60,000 to $69,999","Estimate; Total: - $70,000 to $79,999","Margin of Error; Total: - $70,000 to $79,999","Estimate; Total: - $80,000 to $89,999","Margin of Error; Total: - $80,000 to $89,999","Estimate; Total: - $90,000 to $99,999","Margin of Error; Total: - $90,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $174,999","Margin of Error; Total: - $150,000 to $174,999","Estimate; Total: - $175,000 to $199,999","Margin of Error; Total: - $175,000 to $199,999","Estimate; Total: - $200,000 to $249,999","Margin of Error; Total: - $200,000 to $249,999","Estimate; Total: - $250,000 to $299,999","Margin of Error; Total: - $250,000 to $299,999","Estimate; Total: - $300,000 to $399,999","Margin of Error; Total: - $300,000 to $399,999","Estimate; Total: - $400,000 to $499,999","Margin of Error; Total: - $400,000 to $499,999","Estimate; Total: - $500,000 to $749,999","Margin of Error; Total: - $500,000 to $749,999","Estimate; Total: - $750,000 to $999,999","Margin of Error; Total: - $750,000 to $999,999","Estimate; Total: - $1,000,000 or more","Margin of Error; Total: - $1,000,000 or more"
Greenfield,37,2059,203.5018427,21,36.29049462,0,30,13,35.83294573,20,41.96427052,0,30,9,31.55946768,19,35.22782991,64,50.23942675,67,55.22680509,65,47.90615827,160,79.07591289,155,77.4209274,90,63.43500611,309,107.9629566,255,90.9010451,391,119.8415621,161,77.38862966,159,86.81013766,57,53.33854141,33,47.08502947,0,30,0,30,11,33.52610923,0,30
Hays,38,80,26,0,10,0,10,12,13,0,10,0,10,5,7,6,9,26,17,17,14,4,6,5,7,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Hazelwood,39,1051,148.58331,34,36.7151195,18,28.98275349,62,48.44584606,43,35.07135583,97,55.30822724,34,36.9459064,43,41.85689907,65,61.59545438,62,48.77499359,117,66.05300902,67,37.60319135,46,41.14608122,62,53.46026562,86,65.89385404,60,43.33589736,43,33.63034344,43,36.78314832,41,42.61455151,12,32.92415527,5,25.76819745,0,26.45751311,0,26.45751311,11,30.39736831,0,26.45751311
Highland Park,40,1499,199.2736812,0,28.28427125,7,28.65309756,0,28.28427125,0,28.28427125,0,28.28427125,15,33.77869151,13,33.77869151,7,29.05167809,0,28.28427125,17,33.37663854,17,34.40930107,108,70.32780389,31,46.74398357,85,62.62587325,161,87.62419757,199,92.17374897,115,57.67148342,126,66.02272336,144,65.3375849,293,107.4848827,105,58.01723882,56,55.26300752,0,28.28427125,0,28.28427125
Homewood North,41,667,103.7400598,28,28.17800561,5,21.1896201,69,46.47580015,88,40.57092555,22,20.32240143,129,55.99107072,53,35.35533906,134,63.54525946,34,35.63705936,16,20.42057786,22,25.88435821,22,24.59674775,7,22.36067978,6,21.9317122,17,25.55386468,0,22.36067978,10,20.68816087,5,21.9317122,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978
Homewood South,42,364,70.69653457,21,25.78759392,40,34.0147027,0,24.49489743,8,22.11334439,29,26.79552201,26,24.77902339,14,23.87467277,37,32.14031736,10,22.64950331,17,32.80243893,20,23.79075451,38,31.09662361,13,24.91987159,18,25.86503431,21,29.83286778,19,21.56385865,0,24.49489743,6,24.10394159,5,23.74868417,22,31.27299154,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743
Homewood West,43,207,62.64982043,6,14.14213562,0,14.14213562,33,31.06444913,5,12.80624847,24,31.6227766,40,46.09772229,0,14.14213562,11,16.40121947,27,20.51828453,0,14.14213562,11,15.62049935,19,33.52610923,5,13.45362405,5,12.80624847,0,14.14213562,0,14.14213562,15,20.59126028,0,14.14213562,0,14.14213562,0,14.14213562,6,12.80624847,0,14.14213562,0,14.14213562,0,14.14213562
Knoxville,44,738,152.0263135,33,35.56683849,23,28.08914381,42,44.14748011,42,38.53569774,22,35.05709629,37,40.98780306,41,50.60632372,172,84.09518417,152,76.55716818,41,55.10898293,61,42.67317659,13,32.07802986,0,24.49489743,42,47,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,17,28.37252192,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743
Larimer,45,213,50.90186637,6,19.5192213,19,24.2693222,44,32.87856445,6,19.5192213,25,20.34698995,21,19.74841766,8,16.55294536,26,21.28379665,23,18.49324201,12,18.57417562,0,20,20,28.72281323,0,20,0,20,0,20,0,20,1,18.02775638,2,18.02775638,0,20,0,20,0,20,0,20,0,20,0,20
Lincoln Place,46,1251,138.0688234,0,22.36067978,9,24.41311123,0,22.36067978,32,38.98717738,0,22.36067978,21,27.4226184,15,24.75883681,96,47.138095,196,84,208,71.62401832,154,57.21013896,113,53.43220003,67,48.80573737,164,64.42825467,76,47.78074926,37,35.22782991,28,48.33218389,18,26.90724809,17,25.78759392,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978
Lincoln-Lemington-Belmar,47,896,123.1787319,18,25.78759392,17,34.2928564,0,24.49489743,23,29.01723626,59,45.35416188,37,29.84962311,44,28.33725463,230,65.67343451,79,46.09772229,111,44.37341546,84,64.29618962,74,44.60941605,11,22.97825059,36,38.67815921,9,22.64950331,13,25.13961018,8,24.91987159,14,25.70992026,21,28.70540019,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743,8,25.37715508
Lower Lawrenceville,48,444,97.61659695,8,17.20465053,0,14.14213562,0,14.14213562,16,26,7,14.14213562,28,27.85677655,8,16.40121947,23,18.78829423,17,18.35755975,34,26.17250466,14,18.86796226,28,20.59126028,7,14.86606875,67,44.29446918,37,44.92215489,73,47.4341649,18,20.24845673,15,21.47091055,30,27.85677655,7,15.62049935,0,14.14213562,7,14.86606875,0,14.14213562,0,14.14213562
Manchester,49,496,101.8724693,6,13.45362405,0,14.14213562,0,14.14213562,7,14.86606875,9,16.40121947,0,14.14213562,12,21.47091055,13,14.31782106,33,35.44009029,28,24.69817807,43,30.61045573,81,47.63402146,46,42.05948169,53,34.92849839,64,39.05124838,41,27.58622845,8,18.86796226,18,20.24845673,21,35.44009029,8,16.40121947,0,14.14213562,5,13.45362405,0,14.14213562,0,14.14213562
Marshall-Shadeland,50,1032,149.7030394,20,25.61249695,14,24.0208243,40,34.71310992,33,29.76575213,8,23.85372088,46,42.35563717,134,87.34414691,127,70.55494313,90,47.8225888,184,82.41965785,106,49.10193479,63,39.28103868,30,33.77869151,57,40.32369031,52,50.65570057,8,22.82542442,7,23.32380758,0,22.36067978,0,22.36067978,0,22.36067978,7,22.82542442,6,22.36067978,0,22.36067978,0,22.36067978
Middle Hill,51,247,66.71581522,0,17.32050808,5,15.77973384,7,17.32050808,11,20.61552813,0,17.32050808,16,14.45683229,6,16.24807681,24,23.68543856,15,21.74856317,38,23.60084744,27,39.61060464,15,18.24828759,7,16.76305461,48,36.90528417,4,16.24807681,13,16.24807681,0,17.32050808,0,17.32050808,5,15.77973384,6,17.91647287,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Morningside,52,1013,138.960426,37,32.77193922,21,28.7923601,0,20,0,20,0,20,7,20.51828453,30,43.58898944,0,20,30,26.83281573,59,48.46648326,46,31.76476035,146,72.27032586,55,35.44009029,143,60.09159675,178,66.3249576,89,53.56304696,46,52.04805472,111,55.52476925,0,20,0,20,0,20,15,29.59729717,0,20,0,20
Mount Oliver Borough,53,595,118.692881,7,21.07130751,0,20,0,20,8,21.65640783,26,26.0959767,44,32.44996148,46,37.92097045,168,60.72067193,96,53.89805191,117,73.74957627,46,30.43024811,7,21.07130751,8,21.65640783,8,21.65640783,0,20,7,20.51828453,0,20,7,20,0,20,0,20,0,20,0,20,0,20,0,20
Mount Washington,54,1927,180.5574701,30,32.51153641,10,31.55946768,8,30.72458299,21,38.41874542,37,37.54996671,41,38.19685851,22,31.1608729,133,64.73020933,305,103.696673,171,69.97856815,214,73.76313442,113,57.51521538,154,84.9411561,113,51.7880295,101,48.43552415,124,65.54387843,88,48.856934,104,63.67102952,9,28.72281323,48,38.39270764,9,31.55946768,45,40.07492982,0,30,27,34.07345007
Mt. Oliver,55,126,36,0,10,0,10,0,10,0,10,13,16,3,5,8,14,27,27,18,14,14,16,15,12,0,10,10,10,8,10,0,10,0,10,0,10,5,8,5,8,0,10,0,10,0,10,0,10,0,10
New Homestead,56,360,37,0,10,13,17,6,10,0,10,0,10,0,10,0,10,12,14,11,12,19,21,27,21,20,16,21,16,84,35,64,31,15,17,6,9,37,22,6,9,15,17,4,7,0,10,0,10,0,10
North Oakland,57,930,119.966662,18,30.6757233,0,24.49489743,3,26.38181192,0,24.49489743,8,25.86503431,0,24.49489743,0,24.49489743,10,27.49545417,27,48.46648326,63,46.70117772,19,28.08914381,33,38.22302971,67,41.53311931,189,83.43860018,25,30.49590136,92,54.45181356,44,37.37646318,116,49.43682838,36,37.54996671,14,32.07802986,102,77.02596965,41,40.64480287,23,33.12099032,0,24.49489743
North Shore,58,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Northview Heights,59,4,7,0,10,0,10,0,10,0,10,0,10,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Oakwood,60,280,61,7,9,0,10,0,10,0,10,5,8,0,10,0,10,0,10,21,15,19,18,30,24,34,20,60,52,56,27,23,29,12,12,7,9,6,9,0,10,0,10,0,10,0,10,0,10,0,10
Overbrook,61,1284,113.8771268,5,21.1896201,0,22.36067978,0,22.36067978,20,29.12043956,5,21.1896201,42,39.9374511,12,21.9317122,83,40.63249931,93,35.87478223,253,68.46166811,162,66.52067348,168,51.98076567,197,58.27520914,136,50.73460358,55,42.57933771,23,22.82542442,5,21.9317122,13,23.08679276,7,22.82542442,0,22.36067978,0,22.36067978,0,22.36067978,0,22.36067978,5,21.54065923
Perry North,62,1136,120.9007858,17,26.92582404,5,24.10394159,17,35.05709629,12,27.49545417,10,23.66431913,11,25.37715508,45,35.52463934,77,45.12205669,50,30.56141358,89,41.18252056,118,42.73172124,117,47.65501023,58,35.05709629,185,58.65151319,103,47.9895822,69,43.9886349,25,33,96,65.16133823,17,28.08914381,10,25.86503431,0,24.49489743,0,24.49489743,5,24.10394159,0,24.49489743
Perry South,63,869,124.911969,83,57.42821606,22,29.18903904,18,29.29163703,22,26.62705391,56,36.37306696,51,38.44476557,19,26.79552201,74,55.34437641,111,66,102,47.73887305,95,54.64430437,54,33.91164992,82,49.17316341,4,23.74868417,7,25.37715508,30,30.5450487,0,24.49489743,18,25.27844932,0,24.49489743,21,35.05709629,0,24.49489743,0,24.49489743,0,24.49489743,0,24.49489743
Point Breeze,64,1586,116.7433082,16,29.49576241,0,26.45751311,0,26.45751311,17,31.04834939,0,26.45751311,4,25.47547841,0,26.45751311,15,27.87471973,0,26.45751311,13,28.21347196,32,37.20215048,24,30.82207001,15,28.10693865,74,42.27292278,11,25.76819745,80,39.91240409,58,35.9722115,222,62.05642594,272,69.32532005,350,78.79086241,169,60.94259594,152,47.86439178,53,35.665109,9,24.45403852
Point Breeze North,65,343,83.49251463,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808,5,16.24807681,0,17.32050808,26,31.36877428,0,17.32050808,0,17.32050808,8,19.20937271,14,27,0,17.32050808,34,29.68164416,49,36.08323711,20,29.59729717,47,34.33656943,53,34.07345007,67,43.37049688,20,26.17250466,0,17.32050808,0,17.32050808,0,17.32050808,0,17.32050808
Polish Hill,66,379,83.86298349,0,14.14213562,0,14.14213562,0,14.14213562,13,21.47091055,10,14.86606875,14,14.2126704,12,15.62049935,45,24.51530134,10,11.3137085,36,21.9317122,30,22.47220505,0,14.14213562,18,14.4222051,51,30.8058436,40,26.90724809,20,15.55634919,73,66.28725368,7,14.86606875,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562,0,14.14213562
Regent Square,67,327,41,0,10,0,10,0,10,0,10,4,6,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,16,15,18,20,37,27,16,19,106,37,68,32,45,30,11,13,3,8,0,10,0,10
